Target,Feature,shap_main,shap_interaction_total,shap_interaction_share
log10_PE_VSA_parasitic_energy,catenation,0.00014750483,0.00027003774,0.646731006252642
log10_PE_VSA_parasitic_energy,O_coord_ratio,3.0282841e-05,9.047075e-05,0.7492178741994067
log10_PE_VSA_parasitic_energy,shortest_MM_dist,0.0029493799,0.0051383204,0.6353252759258038
log10_PE_VSA_parasitic_energy,ligand_MW,0.0012158965,0.0021319105,0.6368080554909491
log10_PE_VSA_parasitic_energy,ligand_LogP,0.0025178832,0.0048965868,0.6604095486155167
log10_PE_VSA_parasitic_energy,ligand_n_heavy,8.105155e-05,0.0001977934,0.7093310825993389
log10_PE_VSA_parasitic_energy,ligand_n_aromatic_rings,0.003918669,0.0072253756,0.6483620396069428
log10_PE_VSA_parasitic_energy,ligand_n_carboxylate,0.00011778262,0.00040679768,0.7754726594784439
log10_PE_VSA_parasitic_energy,ligand_n_N_hetero,4.2470296e-05,0.00013403248,0.7593789082669806
log10_PE_VSA_parasitic_energy,ligand_n_halogen,0.0,0.0,0.0
log10_PE_VSA_parasitic_energy,ligand_n_amino,0.00021986545,0.0005691244,0.7213329671840768
log10_PE_VSA_parasitic_energy,ligand_TPSA,0.00047235203,0.0012066521,0.7186713206211903
log10_PE_VSA_parasitic_energy,metal_Co,8.5989916e-05,0.00019190556,0.6905674172839018
log10_PE_VSA_parasitic_energy,metal_Cu,0.0007050484,0.001289792,0.6465640313601909
log10_PE_VSA_parasitic_energy,metal_Mn,0.00082061917,0.0015248964,0.6501327386230593
log10_PE_VSA_parasitic_energy,metal_Ni,0.0,0.0,0.0
log10_PE_VSA_parasitic_energy,metal_Other,0.00011501239,0.0002193986,0.6560747356814506
log10_PE_VSA_parasitic_energy,metal_Zn,0.0,0.0,0.0
log10_PE_VSA_parasitic_energy,metal_Zr,0.0,0.0,0.0
log10_PE_VSA_parasitic_energy,topo_Other,0.00033287946,0.0007272296,0.6859950948184746
log10_PE_VSA_parasitic_energy,topo_dia,0.0,0.0,0.0
log10_PE_VSA_parasitic_energy,topo_error,0.0007808176,0.0013449262,0.6326849942259188
log10_PE_VSA_parasitic_energy,topo_lim,0.0,0.0,0.0
log10_PE_VSA_parasitic_energy,topo_lvt,0.0,0.0,0.0
log10_PE_VSA_parasitic_energy,topo_ntt,0.0,0.0,0.0
log10_PE_VSA_parasitic_energy,topo_pcu,0.0,0.0,0.0
log10_PE_VSA_parasitic_energy,topo_pto,0.0,0.0,0.0
log10_PE_VSA_parasitic_energy,topo_pts,1.4489284e-05,2.8741571e-05,0.6648392826322364
log10_PE_VSA_parasitic_energy,topo_tbo,0.0,0.0,0.0
log10_PE_VSA_parasitic_energy,topo_tsy,0.0,0.0,0.0
N2_Qst_Widom,LCD_A,0.23597208,0.43594348,0.648806976606238
